"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar producto","Compra de productos","SUCCESS","2023-03-30T16:52:44.1984614-05:00[America/Bogota]","0.0","54.3"
"Compras en pagina de pruebas","Compra de productos","PENDING","2023-03-30T08:54:31.0253633-05:00[America/Bogota]","0.0","0.2"
"Compras en pagina de pruebas","Iniciar sesion","PENDING","2023-03-30T08:54:31.2695243-05:00[America/Bogota]","0.0","0.03"
"Compras en pagina de falabella","Compra de productos","ERROR","2023-03-30T15:26:46.8045207-05:00[America/Bogota]","0.0","47.26"
