"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar producto","Compra de productos","ERROR","2023-03-30T16:01:43.0788545-05:00[America/Bogota]","0.0","51.72"
"Compras en pagina de falabella","Compra de productos","ERROR","2023-03-30T15:26:46.8045207-05:00[America/Bogota]","0.0","47.26"
